case_id,sublevel,gate_family,variants_required,history_1,history_2,common_replay_packet,perturbation,primary_metric,expected_safe,expected_seeded_unsafe,reference_oracle,hard_gate,execution_order,status
MP-REF-01,L1-MP,physical_reference,"safe_local;safe_transactional",virgin_elastic,NA,"epsilon=0.005;C0",none,"stress;tangent;candidate","sigma=0.5;Ealg=100;candidate=C0",NA,analytical_fraction,yes,1,OPEN_NOT_EXECUTED
MP-REF-02,L1-MP,physical_reference,"safe_local;safe_transactional",virgin_plastic,NA,"epsilon=0.03;C0",none,"stress;tangent;candidate","sigma=13/11;Ealg=100/11;ep=kappa=1/55",NA,analytical_fraction,yes,2,OPEN_NOT_EXECUTED
MP-REF-03,L1-MP,thermodynamic_reference,"safe_local;safe_transactional",accepted_load_unload_reload,NA,predeclared_strain_path,accepted_path,"stress_state_error;plastic_dissipation","reference_match;dissipation_nonnegative",NA,independent_oracle,yes,3,OPEN_NOT_EXECUTED
MP-LC-01,L1-MP,lifecycle,"unsafe_trial_cache;safe_local;safe_transactional",rejected_epsilon_0.03_then_replay,direct_replay,"epsilon=0.005;C0",rejected_plastic_trial,"delta_stress;state_hash","delta_stress=0;committed_hash_equal","delta_stress=-205/121;finite",analytical_fraction,yes,4,OPEN_NOT_EXECUTED
MP-LC-02,L1-MP,lifecycle,"unsafe_trial_cache;safe_local;safe_transactional",rejected_0.03_then_m0.03,rejected_m0.03_then_0.03,"epsilon=0.005;C0",call_order_permutation,"operator_hash;delta_stress","operator_hash_equal","finite_nonzero_drift_required",independent_oracle,yes,5,OPEN_NOT_EXECUTED
MP-LC-03,L1-MP,lifecycle,"safe_local;safe_transactional",duplicate_same_packet_once,duplicate_same_packet_twice,"epsilon=0.03;C0",duplicate_evaluation,"operator_hash;committed_hash","operator_hash_equal;committed_unchanged",NA,exact_replay,yes,6,OPEN_NOT_EXECUTED
MP-LC-04,L1-MP,commit_semantics,safe_transactional,accept_candidate_once,duplicate_accept_same_candidate,accepted_candidate_from_epsilon_0.03,duplicate_accept,"accepted_version;accepted_hash;error_code","first_accept_advances_once;second_accept_rejected_or_idempotent",NA,state_machine_oracle,yes,7,OPEN_NOT_EXECUTED
MP-LC-05,L1-MP,rollback,safe_transactional,reject_attempt_with_two_candidates,no_attempt,"epsilon=0.005;C0",attempt_rejection,"candidate_reachability;committed_hash;replay_hash","no_candidate_reachable;committed_and_replay_equal",NA,state_machine_oracle,yes,8,OPEN_NOT_EXECUTED
MP-LC-06,L1-MP,terminal_output,"unsafe_output_feedback;safe_local;safe_transactional",insert_terminal_read,direct_replay,"epsilon=0.005;C0",terminal_call_insertion,"delta_stress;state_hash;source_version","delta_stress=0;physical_state_unchanged","finite_nonzero_drift_required",seed_definition,yes,9,OPEN_NOT_EXECUTED
MP-LC-07,L1-MP,checkpoint,"safe_local;safe_transactional",write_restore_then_replay,direct_replay,accepted_plastic_state,checkpoint_round_trip,"checkpoint_hash;operator_hash","checkpoint_and_operator_equal",NA,exact_serialization,yes,10,OPEN_NOT_EXECUTED
MP-OP-01,L1-MP,operator_accuracy,"safe_local;safe_transactional",elastic_directional_check,NA,"epsilon=0.005;C0",central_difference,"relative_tangent_error","within_frozen_tolerance",NA,finite_difference_oracle,yes,11,OPEN_NOT_EXECUTED
MP-OP-02,L1-MP,operator_accuracy,"safe_local;safe_transactional",plastic_directional_check,NA,"epsilon=0.03;C0",central_difference_away_from_yield,"relative_tangent_error","within_frozen_tolerance",NA,finite_difference_oracle,yes,12,OPEN_NOT_EXECUTED
E1-REF-01,L1-E1,physical_reference,"safe_local;safe_transactional",elastic_element_packet,NA,"u=0.005;F=0.5;C0",none,"R;K","R=0;K=100",NA,analytical_fraction,yes,13,OPEN_NOT_EXECUTED
E1-REF-02,L1-E1,physical_reference,"safe_local;safe_transactional",plastic_element_packet,NA,"u=0.021;F=1.1;C0",none,"R;K","R=0;K=100/11",NA,analytical_fraction,yes,14,OPEN_NOT_EXECUTED
E1-LC-01,L1-E1,lifecycle,"unsafe_trial_cache;safe_local;safe_transactional",discarded_u_0.03_then_replay,direct_replay,"u=0.005;F=0.5;C0",rejected_element_trial,"delta_R;operator_hash;committed_hash","delta_R=0;hashes_equal","delta_R=-205/121;finite",analytical_fraction,yes,15,OPEN_NOT_EXECUTED
E1-LC-02,L1-E1,lifecycle,"unsafe_trial_cache;safe_local;safe_transactional",discarded_u_0.02_then_0.03,discarded_u_0.03_then_0.02,"u=0.005;F=0.5;C0",element_call_order_permutation,"delta_R;operator_hash","delta_R=0;operator_hash_equal","finite_nonzero_drift_required",independent_oracle,yes,16,OPEN_NOT_EXECUTED
E1-LC-03,L1-E1,terminal_output,"unsafe_output_feedback;safe_local;safe_transactional",insert_element_output_read,direct_replay,"u=0.005;F=0.5;C0",terminal_output_insertion,"delta_R;state_hash;source_version","delta_R=0;state_equal;accepted_source","finite_nonzero_drift_required",seed_definition,yes,17,OPEN_NOT_EXECUTED
E1-LC-04,L1-E1,output_provenance,"safe_local;safe_transactional",trial_then_output,accepted_output_only,accepted_and_trial_versions,output_request,"output_source_version;candidate_id","only_accepted_version_emitted;no_trial_candidate",NA,provenance_rule,yes,18,OPEN_NOT_EXECUTED
E1-LC-05,L1-E1,checkpoint,"safe_local;safe_transactional",checkpoint_restore_element_replay,direct_element_replay,accepted_plastic_state,checkpoint_round_trip,"state_hash;R_hash;K_hash","all_equal",NA,exact_serialization,yes,19,OPEN_NOT_EXECUTED
E1-OP-01,L1-E1,version_compatibility,"safe_local;safe_transactional;seeded_version_mismatch",matched_residual_tangent_versions,mismatched_version_id,"u=0.03;F=13/11;C0",metadata_mismatch_seed,"version_gate","safe_pass;seeded_mismatch_rejected_before_verdict","hard_fail_detected",schema_oracle,yes,20,OPEN_NOT_EXECUTED
