case_id,design_version,partition,subject_id,target_verdict,case_role,fault_or_control,history_A,history_B,precomparison_relation,required_observable,ground_truth,applicability_gate,implementation_status,execution_authorized
P5B-PASS-01,JSS-P5B.0,DEVELOPMENT,JSS-S02,PASS_INVARIANT,benign_control,DECLARED_VERSIONED_TANGENT_LAG,exact_current,declared_lag,compatible,operator packet versions,legal approximation with equal accepted fields,version metadata exposed,FROZEN_NOT_IMPLEMENTED,false
P5B-PASS-02,JSS-P5B.0,DEVELOPMENT,JSS-S03,PASS_INVARIANT,benign_control,DIAGNOSTIC_ONLY_PERSISTENT_STATE,direct,direct_plus_diagnostic_counter,compatible,semantic persistent projection,diagnostic field excluded from physics projection,diagnostic field ownership declared,FROZEN_NOT_IMPLEMENTED,false
P5B-PASS-03,JSS-P5B.0,DEVELOPMENT,JSS-S03,PASS_INVARIANT,benign_control,LEGAL_CALLBACK_ORDER_VARIATION,direct,extra_nonaccepting_callbacks,compatible,callback ledger and replay packet,extra calls have no reverse physical path,host nonaccepted evaluations observable,FROZEN_NOT_IMPLEMENTED,false
P5B-PASS-04,JSS-P5B.0,DEVELOPMENT,JSS-S01,PASS_INVARIANT,benign_control,LEGITIMATE_CHECKPOINT_RESTART,direct_continuation,checkpoint_restart_continuation,compatible,checkpoint state and accepted output,accepted state restores exactly,checkpoint API implemented by adapter,FROZEN_NOT_IMPLEMENTED,false
P5B-PASS-05,JSS-P5B.0,HELD_OUT,JSS-S01,PASS_INVARIANT,benign_control,POST_COMMIT_OUTPUT_ONLY,direct_without_diagnostic_output,direct_with_postcommit_output,compatible,output candidate and commit reachability,output originates only from accepted candidate,accepted-output hook exposed,FROZEN_NOT_IMPLEMENTED,false
P5B-DETECT-01,JSS-P5B.0,DEVELOPMENT,JSS-S01,DETECT_LIFECYCLE_DRIFT,fault,F03_PREMATURE_COMMIT,direct,rejected_trial_premature_commit,compatible,committed fingerprint before and after reject,rejected candidate mutates committed state,commit boundary observable,FROZEN_NOT_IMPLEMENTED,false
P5B-DETECT-02,JSS-P5B.0,DEVELOPMENT,JSS-S02,DETECT_LIFECYCLE_DRIFT,fault,F05_OUTPUT_FEEDBACK,direct,rejected_output_feedback,compatible,output source and later operator,rejected output changes later physics,output source plane observable,FROZEN_NOT_IMPLEMENTED,false
P5B-DETECT-03,JSS-P5B.0,DEVELOPMENT,JSS-S03,DETECT_LIFECYCLE_DRIFT,fault,F07_CALLBACK_ORDER_BIAS,direct,extra_nonaccepting_callbacks_with_cache,compatible,callback ledger and persistent fingerprint,callback order mutates rollback-external state,host nonaccepted evaluations observable,FROZEN_NOT_IMPLEMENTED,false
P5B-DETECT-04,JSS-P5B.0,DEVELOPMENT,JSS-S02,DETECT_LIFECYCLE_DRIFT,fault,F08_WITHIN_HISTORY_VERSION_VIOLATION,matched_packet,eligible_history_emits_mismatch_packet,compatible,within-history residual and tangent versions,internal version relation fails before correction,version metadata exposed,FROZEN_NOT_IMPLEMENTED,false
P5B-DETECT-05,JSS-P5B.0,HELD_OUT,JSS-S01,DETECT_LIFECYCLE_DRIFT,fault,F05_REJECTED_CANDIDATE_OUTPUT,direct,output_from_rejected_candidate,compatible,candidate reachability and output source,accepted output points to unaccepted candidate,accepted-output hook exposed,FROZEN_NOT_IMPLEMENTED,false
P5B-INVALID-01,JSS-P5B.0,DEVELOPMENT,JSS-S02,INVALID,ineligibility_control,PRIMARY_STATE_MISMATCH,replay_x_A,replay_x_B,incompatible,primary state fingerprints,declared replay states differ,canonical state serializer available,FROZEN_NOT_IMPLEMENTED,false
P5B-INVALID-02,JSS-P5B.0,DEVELOPMENT,JSS-S01,INVALID,ineligibility_control,COMMITTED_PROJECTION_MISMATCH,committed_C_A,committed_C_B,incompatible,committed and persistent projection fingerprints,authoritative committed projections differ,semantic projection declared,FROZEN_NOT_IMPLEMENTED,false
P5B-INVALID-03,JSS-P5B.0,DEVELOPMENT,JSS-S03,INVALID,ineligibility_control,LOAD_MISMATCH,load_A,load_B,incompatible,load packet hashes,external loads differ,load packet serializer available,FROZEN_NOT_IMPLEMENTED,false
P5B-INVALID-04,JSS-P5B.0,DEVELOPMENT,JSS-S02,INVALID,ineligibility_control,PRECOMPARISON_VERSION_MISMATCH,declared_version_A,declared_version_B,incompatible,pre-replay version relation,versions incompatible before history,version metadata exposed,FROZEN_NOT_IMPLEMENTED,false
P5B-INVALID-05,JSS-P5B.0,HELD_OUT,JSS-S01,INVALID,ineligibility_control,BOUNDARY_CONTROL_MISMATCH,boundary_packet_A,boundary_packet_B,incompatible,boundary and solver-control hashes,external controls differ,control packet serializer available,FROZEN_NOT_IMPLEMENTED,false
P5B-NS-01,JSS-P5B.0,DEVELOPMENT,JSS-S03,NOT_SUPPORTED,coverage_control,NATIVE_CHECKPOINT_PATH,host_continuation,native_checkpoint_restart,not_evaluated,native checkpoint event,SciPy adapter exposes no native checkpoint transaction,capability audit required,FROZEN_NOT_IMPLEMENTED,false
